title,year,country_or_region,language,genres,director,main_cast,awards,platforms,rating_score,popularity_score,themes,market_type
Still Life,2006,China,Mandarin,Drama|Art House,Jia Zhangke,Zhao Tao|Han Sanming,Venice Golden Lion,Theatrical|Criterion Channel,7.6,64,migration|modernization|loss,festival
A Touch of Sin,2013,China,Mandarin,Drama|Social Realism,Jia Zhangke,Jiang Wu|Zhao Tao|Wang Baoqiang,Cannes Best Screenplay,Theatrical|MUBI,7.1,61,inequality|violence|friction,festival
Ash Is Purest White,2018,China,Mandarin,Drama|Crime,Jia Zhangke,Zhao Tao|Liao Fan,Cannes Competition,Theatrical|MUBI,6.5,54,love|crime|time,festival
Aftershock,2010,China,Mandarin,Drama|Disaster,Feng Xiaogang,Xu Fan|Zhang Jingchu|Chen Daoming,Golden Horse Awards,Theatrical|Tencent Video,7.6,67,family|loss|recovery,domestic
Back to 1942,2012,China,Mandarin,Drama|Historical,Feng Xiaogang,Zhang Guoli|Xu Fan|Chen Daoming,Golden Rooster Awards,Theatrical|iQiyi,6.9,52,survival|history|migration,domestic
Let the Bullets Fly,2010,China,Mandarin,Action|Comedy|Western,Jiang Wen,Jiang Wen|Chow Yun-fat|Ge You,Golden Horse Awards,Theatrical|Youku,7.2,70,power|satire|outlaws,domestic
The Hidden Man,2018,China,Mandarin,Historical|Action,Jiang Wen,Jiang Wen|Peng Yuyan|Zhou Yun,Golden Rooster Awards nomination,Theatrical|iQiyi,6.4,55,loyalty|empire|mystery,domestic
Suzhou River,2000,China,Mandarin,Romance|Thriller,Lou Ye,Zhou Xun|Jia Hongsheng,Rotterdam Tiger Award,Theatrical|Criterion Channel,7.4,56,identity|river city|obsession,festival
Summer Palace,2006,China,Mandarin,Drama|Romance,Lou Ye,Hao Lei|Guo Xiaodong,Cannes Competition,Theatrical|MUBI,7.0,53,youth|politics|desire,festival
Mystery,2012,China,Mandarin,Drama|Mystery,Lou Ye,Hao Lei|Qin Hao,Cannes Competition,Theatrical|iQiyi,6.7,47,secrecy|family|tension,festival
Long Day's Journey into Night,2018,China,Mandarin,Drama|Mystery|Art House,Bi Gan,Huang Jue|Tang Wei,Cannes Un Certain Regard,Theatrical|MUBI,6.8,52,memory|dreams|return,festival
The World,2004,China,Mandarin,Drama,Jia Zhangke,Zhao Tao|Jing Jue,Venice Competition,Theatrical|Criterion Channel,7.0,43,globalization|labor|illusion,festival
The Promise,2005,China,Mandarin,Fantasy|Action,Chen Kaige,Cecilia Cheung|Jang Dong-gun|Hiroyuki Sanada,Asian Film Awards nomination,Theatrical|iQiyi,5.6,49,destiny|war|spectacle,international
The Warlords,2007,China,Mandarin,Action|Drama,Peter Chan,Jet Li|Andy Lau|Takeshi Kaneshiro,Hong Kong Film Awards,Theatrical|Criterion Channel,7.0,66,brotherhood|war|ambition,international
Dearest,2014,China,Mandarin,Drama,Peter Chan,Zhao Wei|Huang Bo|Tong Dawei,Hong Kong Film Awards,Theatrical|Tencent Video,7.7,61,family|search|loss,domestic
A Simple Life,2011,Hong Kong,Cantonese,Drama,Ann Hui,Andy Lau|Deanie Ip,Venice Best Actress,Theatrical|Criterion Channel,7.6,60,care|aging|dignity,festival
The Golden Era,2014,Hong Kong,Mandarin,Drama|Biography,Ann Hui,Tang Wei|Feng Shaofeng,Hong Kong Film Awards,Theatrical|MUBI,6.4,48,history|literature|memory,festival
Shaolin Soccer,2001,Hong Kong,Cantonese,Comedy|Sports|Action,Stephen Chow,Stephen Chow|Ng Man-tat|Zhao Wei,Hong Kong Film Awards,Theatrical|Netflix,7.3,84,underdog|parody|teamwork,international
Kung Fu Hustle,2004,Hong Kong,Cantonese,Action|Comedy,Stephen Chow,Stephen Chow|Yuen Wah|Huang Shengyi,Hong Kong Film Awards|BAFTA nomination,Theatrical|Netflix,7.7,88,slapstick|martial arts|myth,international
The Mermaid,2016,China,Mandarin,Comedy|Fantasy,Stephen Chow,Deng Chao|Lin Yun|Show Luo,Golden Rooster Awards,Theatrical|iQiyi,6.2,86,environment|comedy|speculation,domestic
The Wandering Earth,2019,China,Mandarin,Sci-Fi|Adventure,Frant Gwo,Wu Jing|Qu Chuxiao|Li Guangjie,Golden Rooster Awards,Theatrical|Netflix,7.1,91,sacrifice|global catastrophe|family,cross-cultural
The Wandering Earth II,2023,China,Mandarin,Sci-Fi|Adventure,Frant Gwo,Wu Jing|Andy Lau|Li Xuejian,Golden Rooster Awards nomination,Theatrical|Netflix,7.2,90,time|global cooperation|survival,cross-cultural
Crazy Stone,2006,China,Mandarin,Comedy|Crime,Ning Hao,Guo Tao|Huang Bo,Golden Horse nomination,Theatrical|iQiyi,7.6,63,misdirection|money|street hustles,domestic
Crazy Alien,2019,China,Mandarin,Comedy|Sci-Fi,Ning Hao,Huang Bo|Shen Teng,Golden Rooster Awards nomination,Theatrical|Tencent Video,6.4,74,alien encounter|satire|chaos,domestic
"Black Coal, Thin Ice",2014,China,Mandarin,Crime|Thriller,Diao Yinan,Liao Fan|Gwei Lun-mei,Berlin Golden Bear,Theatrical|MUBI,6.7,57,crime|winter|obsession,festival
Lost in Thailand,2012,China,Mandarin,Comedy|Adventure,Xu Zheng,Xu Zheng|Wang Baoqiang|Huang Bo,Golden Horse nomination,Theatrical|iQiyi,7.2,75,travel|buddy comedy|commerce,domestic
Pegasus,2019,China,Mandarin,Comedy|Sports,Han Han,Shen Teng|Huang Jingyu|Yin Zheng,Golden Rooster nomination,Theatrical|Tencent Video,6.3,70,competition|comeback|team,domestic
The Continent,2014,China,Mandarin,Comedy|Road Movie,Han Han,Deng Chao|Lin Gengxin,,Theatrical|iQiyi,6.1,57,friendship|travel|disillusionment,domestic
Duckweed,2017,China,Mandarin,Comedy|Drama,Han Han,Deng Chao|Eddie Peng|Zhao Liying,,Theatrical|Tencent Video,6.8,56,identity|family|road life,domestic
"Hi, Mom",2021,China,Mandarin,Comedy|Drama|Fantasy,Jia Ling,Jia Ling|Shen Teng|Zhang Xiaofei,Golden Rooster nomination,Theatrical|iQiyi,7.8,89,motherhood|regret|second chance,domestic
Better Days,2019,China,Mandarin,Drama|Crime,Derek Tsang,Zhou Dongyu|Jackson Yee,Oscar shortlist (China submission),Theatrical|Netflix,7.5,83,bullying|hope|youth,cross-cultural
The Battle at Lake Changjin,2021,China,Mandarin,War|Historical,Dante Lam,Wu Jing|Jackson Yee,Golden Rooster Awards,Theatrical|Tencent Video,5.9,93,war|nation|sacrifice,domestic
Ne Zha,2019,China,Mandarin,Animation|Fantasy|Adventure,Jiaozi,Lü Yanting,Golden Rooster Awards,Theatrical|Netflix,7.4,88,destiny|rebellion|family,domestic
Operation Red Sea,2018,China,Mandarin,Action|War,Dante Lam,Zhang Yi|Huang Jingyu,Hong Kong Film Awards,Theatrical|iQiyi,6.7,76,rescue|military|teamwork,domestic
The Three-Body Problem,2024,China,Mandarin,Sci-Fi|Drama,Sample Studio Team,Liu Tao,,Tencent Video,7.0,68,science|first contact|scale,domestic
The Flowers of War,2011,China,Mandarin,War|Drama,Zhang Yimou,Christian Bale|Ni Ni,Golden Horse nominations,Theatrical|MUBI,7.5,77,survival|war|sacrifice,international
Heroic Age of the East,2025,China,Mandarin,Drama|Historical,Sample Studio Team,Zhang Yi|Liu Tao,,Sample Streaming,6.4,35,heritage|family|legacy,sample
E.T. the Extra-Terrestrial,1982,United States,English,Sci-Fi|Family,Steven Spielberg,Henry Thomas|Drew Barrymore,Academy Awards,Theatrical|Peacock,8.6,92,friendship|home|wonder,classic
Schindler's List,1993,United States,English,Drama|Historical,Steven Spielberg,Liam Neeson|Ben Kingsley|Ralph Fiennes,Academy Awards|BAFTA,Theatrical|Peacock,9.0,96,memory|genocide|moral choice,prestige
Saving Private Ryan,1998,United States,English,War|Drama,Steven Spielberg,Tom Hanks|Matt Damon,Academy Awards,Theatrical|Paramount+,8.6,94,duty|war|sacrifice,prestige
Goodfellas,1990,United States,English,Crime|Drama,Martin Scorsese,Robert De Niro|Ray Liotta|Joe Pesci,BAFTA,Theatrical|Max,8.7,90,crime|loyalty|ambition,prestige
The Irishman,2019,United States,English,Crime|Drama,Martin Scorsese,Robert De Niro|Al Pacino|Joe Pesci,Academy Awards nominations,Netflix,7.8,88,memory|crime|aging,prestige
Inception,2010,United States,English,Sci-Fi|Thriller,Christopher Nolan,Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page,Academy Awards,Theatrical|Max,8.8,97,dreams|time|heist,global
Interstellar,2014,United States,English,Sci-Fi|Drama,Christopher Nolan,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Academy Awards,Theatrical|Paramount+,8.7,95,family|space|time,global
Oppenheimer,2023,United States,English,Drama|Biography,Christopher Nolan,Cillian Murphy|Emily Blunt|Robert Downey Jr.,Academy Awards|Golden Globe,Theatrical|Peacock,8.4,98,science|power|consequence,prestige
Pulp Fiction,1994,United States,English,Crime|Black Comedy,Quentin Tarantino,John Travolta|Uma Thurman|Samuel L. Jackson,Cannes Palme d'Or,Theatrical|Paramount+,8.9,90,violence|chance|pop culture,classic
Django Unchained,2012,United States,English,Western|Drama,Quentin Tarantino,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio,Academy Awards,Theatrical|Netflix,8.4,89,revenge|history|freedom,prestige
Once Upon a Time in Hollywood,2019,United States,English,Drama|Comedy,Quentin Tarantino,Leonardo DiCaprio|Brad Pitt|Margot Robbie,Academy Awards,Theatrical|Netflix,7.6,91,nostalgia|industry|identity,prestige
Lady Bird,2017,United States,English,Drama|Coming-of-Age,Greta Gerwig,Saoirse Ronan|Laurie Metcalf|Timothée Chalamet,Academy Awards nominations,Theatrical|Netflix,7.4,82,mother-daughter|coming of age|class,prestige
Barbie,2023,United States,English,Comedy|Fantasy,Greta Gerwig,Margot Robbie|Ryan Gosling|America Ferrera,Academy Awards|Golden Globe,Theatrical|Max,6.8,99,identity|consumer culture|gender,global
Lost in Translation,2003,United States,English/Japanese,Drama,Sofia Coppola,Scarlett Johansson|Bill Murray,Academy Awards,Theatrical|Criterion Channel,7.7,80,loneliness|dislocation|connection,prestige
Marie Antoinette,2006,United States,English/French,Drama|Biography,Sofia Coppola,Kirsten Dunst|Jason Schwartzman,,Theatrical|Criterion Channel,6.5,60,style|power|youth,festival
The Hurt Locker,2008,United States,English,War|Thriller,Kathryn Bigelow,Jeremy Renner|Anthony Mackie,Academy Awards|BAFTA,Theatrical|Amazon Prime Video,7.5,74,danger|discipline|war,prestige
Zero Dark Thirty,2012,United States,English,Thriller|Drama,Kathryn Bigelow,Jessica Chastain|Jason Clarke,Academy Awards nominations,Theatrical|Netflix,7.4,72,manhunt|statecraft|obsession,prestige
Get Out,2017,United States,English,Horror|Thriller,Jordan Peele,Daniel Kaluuya|Allison Williams|Catherine Keener,Academy Awards,Theatrical|Peacock,7.7,93,race|identity|unease,cultural
Nope,2022,United States,English,Sci-Fi|Horror,Jordan Peele,Daniel Kaluuya|Keke Palmer|Steven Yeun,Academy Awards nomination,Theatrical|Peacock,6.8,84,spectacle|media|fear,cultural
Creed,2015,United States,English,Drama|Sports,Ryan Coogler,Michael B. Jordan|Sylvester Stallone|Tessa Thompson,Academy Awards nomination,Theatrical|Max,7.6,81,legacy|training|comeback,mainstream
Black Panther,2018,United States,English,Action|Superhero,Ryan Coogler,Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o,Academy Awards|BAFTA,Disney+|Theatrical,7.3,99,heritage|technology|power,global
Avatar,2009,United States,English,Sci-Fi|Adventure,James Cameron,Sam Worthington|Zoe Saldana|Sigourney Weaver,Academy Awards,Theatrical|Disney+,7.8,98,environment|exploration|colonialism,global
Titanic,1997,United States,English,Romance|Drama,James Cameron,Leonardo DiCaprio|Kate Winslet|Billy Zane,Academy Awards|Golden Globe,Theatrical|Paramount+,7.9,99,class|disaster|romance,global
Aliens,1986,United States,English,Sci-Fi|Action,James Cameron,Sigourney Weaver|Michael Biehn,Academy Awards,Theatrical|Disney+,8.4,88,survival|military|motherhood,classic
Se7en,1995,United States,English,Crime|Thriller,David Fincher,Brad Pitt|Morgan Freeman|Gwyneth Paltrow,,Theatrical|Max,8.6,88,sin|city|obsession,prestige
The Social Network,2010,United States,English,Drama|Biography,David Fincher,Jesse Eisenberg|Andrew Garfield|Justin Timberlake,Academy Awards|Golden Globe,Theatrical|Netflix,7.8,90,ambition|tech|friendship,prestige
Gone Girl,2014,United States,English,Thriller|Drama,David Fincher,Ben Affleck|Rosamund Pike,Academy Awards nomination,Theatrical|Netflix,8.1,86,marriage|media|deception,prestige
The Grand Budapest Hotel,2014,United States,English,Comedy|Drama,Wes Anderson,Ralph Fiennes|Tony Revolori|Saoirse Ronan,Academy Awards,Theatrical|Criterion Channel,8.1,84,order|style|loss,festival
Asteroid City,2023,United States,English,Comedy|Sci-Fi,Wes Anderson,Jason Schwartzman|Scarlett Johansson|Tom Hanks,Cannes Competition,Theatrical|Peacock,6.4,64,grief|performance|curiosity,festival
Arrival,2016,United States,English,Sci-Fi|Drama,Denis Villeneuve,Amy Adams|Jeremy Renner|Forest Whitaker,Academy Awards,Theatrical|Paramount+,8.0,84,language|time|contact,prestige
Dune,2021,United States,English,Sci-Fi|Adventure,Denis Villeneuve,Timothée Chalamet|Zendaya|Rebecca Ferguson,Academy Awards|BAFTA,Theatrical|Max,8.0,97,desert|power|destiny,global
Blade Runner 2049,2017,United States,English,Sci-Fi|Noir,Denis Villeneuve,Ryan Gosling|Harrison Ford|Ana de Armas,Academy Awards,Theatrical|Netflix,8.0,79,memory|identity|future,prestige
Whiplash,2014,United States,English,Drama|Music,Damien Chazelle,Miles Teller|J.K. Simmons,Academy Awards,Theatrical|Netflix,8.5,80,ambition|discipline|pressure,prestige
La La Land,2016,United States,English,Music|Romance,Damien Chazelle,Emma Stone|Ryan Gosling,Academy Awards|Golden Globe,Theatrical|Netflix,8.0,89,dreams|love|career,prestige
Moonlight,2016,United States,English,Drama,Barry Jenkins,Trevante Rhodes|Mahershala Ali|Naomie Harris,Academy Awards|Golden Globe,Theatrical|Max,7.4,79,identity|masculinity|tenderness,prestige
If Beale Street Could Talk,2018,United States,English,Drama|Romance,Barry Jenkins,KiKi Layne|Stephan James|Regina King,Academy Awards,Theatrical|Amazon Prime Video,7.1,61,love|justice|family,prestige
Do the Right Thing,1989,United States,English,Drama|Comedy,Spike Lee,Danny Aiello|Ossie Davis|Ruby Dee,Academy Awards nomination,Theatrical|Criterion Channel,8.0,81,race|heat|community,prestige
BlacKkKlansman,2018,United States,English,Crime|Drama,Spike Lee,John David Washington|Adam Driver|Laura Harrier,Academy Awards|Cannes Grand Prix,Theatrical|Peacock,7.5,80,race|infiltration|history,prestige
Alien,1979,United States,English,Sci-Fi|Horror,Ridley Scott,Sigourney Weaver|Tom Skerritt|John Hurt,Academy Awards,Theatrical|Disney+,8.5,86,survival|fear|isolation,classic
Gladiator,2000,United States,English,Action|Historical,Ridley Scott,Russell Crowe|Joaquin Phoenix|Connie Nielsen,Academy Awards|Golden Globe,Theatrical|Peacock,8.5,89,honor|revenge|empire,prestige
The Martian,2015,United States,English,Sci-Fi|Adventure,Ridley Scott,Matt Damon|Jessica Chastain|Chiwetel Ejiofor,Academy Awards|Golden Globe,Theatrical|Hulu,8.0,84,survival|science|teamwork,mainstream
The Godfather Part II,1974,United States,English,Crime|Drama,Francis Ford Coppola,Al Pacino|Robert De Niro|Diane Keaton,Academy Awards,Theatrical|Paramount+,9.0,92,legacy|family|power,classic
Apocalypse Now,1979,United States,English,War|Drama,Francis Ford Coppola,Martin Sheen|Marlon Brando|Robert Duvall,Cannes Palme d'Or,Theatrical|Paramount+,8.5,85,war|madness|imperialism,classic
American Graffiti,1973,United States,English,Comedy|Drama,George Lucas,Richard Dreyfuss|Ron Howard|Cindy Williams,Academy Awards nomination,Theatrical|Peacock,7.4,70,youth|nostalgia|night,classic
There Will Be Blood,2007,United States,English,Drama,Paul Thomas Anderson,Daniel Day-Lewis|Paul Dano,Academy Awards|BAFTA,Theatrical|Paramount+,8.2,78,ambition|oil|greed,prestige
Licorice Pizza,2021,United States,English,Comedy|Drama,Paul Thomas Anderson,Alana Haim|Cooper Hoffman|Sean Penn,Academy Awards nomination,Theatrical|Amazon Prime Video,7.0,58,youth|nostalgia|first love,festival
Hereditary,2018,United States,English,Horror|Drama,Ari Aster,Toni Collette|Alex Wolff|Milly Shapiro,Academy Awards nomination,Theatrical|Max,7.3,81,grief|family|dread,horror
Midsommar,2019,United States,English/Swedish,Horror|Drama,Ari Aster,Florence Pugh|Jack Reynor|Will Poulter,Academy Awards nomination,Theatrical|Max,7.1,75,ritual|breakup|community,horror
Beau Is Afraid,2023,United States,English,Comedy|Horror,Ari Aster,Joaquin Phoenix|Patti LuPone,Cannes Competition,Theatrical|Apple TV+,6.5,50,anxiety|family|ordeal,festival
Nomadland,2020,United States,English,Drama,Chloé Zhao,Frances McDormand|David Strathairn|Linda May,Academy Awards|Golden Globe|Venice Golden Lion,Hulu|Theatrical,7.4,76,mobility|work|landscape,prestige
The Rider,2017,United States,English,Drama,Chloé Zhao,Brady Jandreau|Tim Jandreau|Lilly Jandreau,Cannes Directors' Fortnight,Theatrical|MUBI,7.3,58,riding|identity|healing,festival
Eternals,2021,United States,English,Superhero|Adventure,Chloé Zhao,Gemma Chan|Richard Madden|Angelina Jolie,Academy Awards nomination,Theatrical|Disney+,6.4,72,immortality|duty|ensemble,global
Crazy Rich Asians,2018,United States,English/Mandarin,Romance|Comedy,Jon M. Chu,Constance Wu|Henry Golding|Michelle Yeoh,Golden Globe nomination,Theatrical|Max,6.9,84,family|class|belonging,bridge
In the Heights,2021,United States,English/Spanish,Musical|Drama,Jon M. Chu,Anthony Ramos|Melissa Barrera|Leslie Grace,Academy Awards nomination,Max,7.0,59,neighborhood|dreams|music,bridge
Precious,2009,United States,English,Drama,Lee Daniels,Gabourey Sidibe|Mo'Nique,Academy Awards|BAFTA,Theatrical|Netflix,7.3,60,trauma|survival|self-worth,prestige
The Butler,2013,United States,English,Drama|Historical,Lee Daniels,Forest Whitaker|Oprah Winfrey,Golden Globe nomination,Theatrical|Netflix,7.2,58,civil rights|service|family,prestige
Sleepless in Seattle,1993,United States,English,Romance|Comedy,Nora Ephron,Tom Hanks|Meg Ryan,Golden Globe,Theatrical|Netflix,6.8,67,chance|longing|city,classic
Julie & Julia,2009,United States,English,Comedy|Drama,Nora Ephron,Meryl Streep|Amy Adams,Academy Awards nomination,Theatrical|Netflix,7.0,54,cooking|writing|parallel lives,prestige
Selma,2014,United States,English,Drama|Historical,Ava DuVernay,David Oyelowo|Carmen Ejogo,Academy Awards,Theatrical|Paramount+,7.5,65,rights|leadership|movement,prestige
When They See Us,2019,United States,English,Drama|Miniseries,Ava DuVernay,Jharrel Jerome|Asante Blackk,Emmy Awards,Netflix,8.8,70,justice|system|memory,prestige
Everything Everywhere All at Once,2022,United States,English/Mandarin,Action|Comedy|Sci-Fi,Daniel Kwan / Daniel Scheinert,Michelle Yeoh|Ke Huy Quan|Stephanie Hsu,Academy Awards|Golden Globe|BAFTA,Theatrical|Netflix,8.0,97,multiverse|family|identity,cross-cultural
The Farewell,2019,United States/China,English/Mandarin,Drama|Comedy,Lulu Wang,Awkwafina|Zhao Shuzhen|Tzi Ma,Golden Globe nomination,Theatrical|Amazon Prime Video,7.6,83,family|truth|cross-border,cross-cultural
Shang-Chi and the Legend of the Ten Rings,2021,United States,English/Mandarin,Action|Superhero,Destin Daniel Cretton,Simu Liu|Awkwafina|Tony Leung Chiu-wai,Academy Awards nomination,Theatrical|Disney+,7.4,92,legacy|family|myth,cross-cultural
Mulan,2020,United States,English/Mandarin,Action|Adventure,Niki Caro,Liu Yifei|Donnie Yen|Gong Li,Academy Awards nomination,Disney+,5.8,79,duty|honor|myth,cross-cultural
Minari,2020,United States,English/Korean,Drama,Lee Isaac Chung,Steven Yeun|Han Ye-ri|Youn Yuh-jung,Academy Awards|Golden Globe,Theatrical|A24,7.4,74,family|migration|belonging,cross-cultural
A Sample Slate for a Pan-Asian Thriller,2026,Cross-market,English/Mandarin,Thriller|Drama,Sample Studio Team,Michelle Yeoh|Simu Liu,,Sample Streaming|Theatrical,6.6,44,identity|espionage|family,sample
A Sample Slate for Prestige Sci-Fi,2026,Cross-market,English,Sci-Fi|Drama,Sample Studio Team,Cillian Murphy|Zhang Ziyi,,Sample Streaming,6.8,46,future|ethics|contact,sample
A Sample Slate for Awards-Season Ensemble Drama,2026,Cross-market,English/Mandarin,Drama|Ensemble,Sample Studio Team,Meryl Streep|Tony Leung Chiu-wai,,Sample Streaming|Theatrical,6.7,41,legacy|family|industry,sample
A Sample Slate for Youth Culture Crime,2026,Cross-market,English,Crime|Coming-of-Age,Sample Studio Team,Zendaya|Jackson Yee,,Sample Streaming,6.3,39,pressure|identity|night life,sample
A Sample Slate for Festival Romance,2026,Cross-market,English/French/Mandarin,Romance|Drama,Sample Studio Team,Tang Wei|Ryan Gosling,,MUBI|Theatrical,6.4,38,desire|distance|memory,sample
A Sample Slate for Franchise Action,2026,Cross-market,English,Action|Adventure,Sample Studio Team,Donnie Yen|Denzel Washington,,Disney+|Theatrical,6.5,42,mentor|teamwork|retaliation,sample
The Dark Knight,2008,United States,English,Action|Crime|Superhero,Christopher Nolan,Christian Bale|Heath Ledger|Aaron Eckhart,Academy Awards|BAFTA,Theatrical|Max,9.0,99,order|chaos|heroism,franchise
Top Gun Maverick,2022,United States,English,Action|Drama,Joseph Kosinski,Tom Cruise|Miles Teller|Jennifer Connelly,Academy Awards,Theatrical|Paramount+,8.3,98,legacy|flight|teamwork,franchise
Deadpool Wolverine,2024,United States,English,Action|Comedy|Superhero,Shawn Levy,Ryan Reynolds|Hugh Jackman,Golden Trailer Awards,Theatrical|Disney+,8.0,99,irony|multiverse|friendship,franchise
John Wick Chapter 4,2023,United States,English,Action|Thriller,Chad Stahelski,Keanu Reeves|Donnie Yen|Bill Skarsgard,Saturn Awards,Theatrical|Peacock,8.2,97,revenge|discipline|underworld,franchise
Fast X,2023,United States,English,Action|Crime,Louis Leterrier,Vin Diesel|Jason Statham|Michelle Rodriguez,People Choice nomination,Theatrical|Peacock,6.0,95,family|speed|loyalty,franchise
Gladiator II,2024,United States,English,Action|Historical,Ridley Scott,Pedro Pascal|Paul Mescal|Denzel Washington,Gold Derby nomination,Theatrical|Paramount+,7.8,92,power|legacy|revenge,prestige
Wicked,2024,United States,English,Musical|Fantasy,Jon M. Chu,Ariana Grande|Cynthia Erivo|Jonathan Bailey,Academy Awards nomination,Theatrical|Peacock,8.1,97,friendship|identity|spectacle,mainstream
Doctor Strange,2016,United States,English,Superhero|Fantasy,Scott Derrickson,Benedict Cumberbatch|Chiwetel Ejiofor|Tilda Swinton,Academy Awards nomination,Theatrical|Disney+,7.5,95,magic|identity|destiny,franchise
The Matrix Resurrections,2021,United States,English,Sci-Fi|Action,Lana Wachowski,Keanu Reeves|Carrie-Anne Moss|Jada Pinkett Smith,Saturn Awards nomination,Theatrical|Max,5.7,92,simulation|memory|agency,franchise
