entity_type,entity_name,source_type,source_title,source_url
film,"Crouching Tiger, Hidden Dragon",Wikipedia,"Crouching Tiger, Hidden Dragon","https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon"
film,Deadpool Wolverine,Wikipedia,Deadpool Wolverine,https://en.wikipedia.org/wiki/Deadpool_%26_Wolverine
film,Dearest,Wikipedia,Dearest,https://en.wikipedia.org/wiki/Dearest
film,Django Unchained,Wikipedia,Django Unchained,https://en.wikipedia.org/wiki/Django_Unchained
film,Do the Right Thing,Wikipedia,Do the Right Thing,https://en.wikipedia.org/wiki/Do_the_Right_Thing
film,Doctor Strange,Wikipedia,Doctor Strange,https://en.wikipedia.org/wiki/Doctor_Strange
film,Duckweed,Wikipedia,Duckweed,https://en.wikipedia.org/wiki/Duckweed
film,Dune,Wikipedia,Dune,https://en.wikipedia.org/wiki/Dune_(2021_film)
film,E.T. the Extra-Terrestrial,Wikipedia,E.T. the Extra-Terrestrial,https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial
film,Eat Drink Man Woman,Wikipedia,Eat Drink Man Woman,https://en.wikipedia.org/wiki/Eat_Drink_Man_Woman
film,Eternals,Wikipedia,Eternals,https://en.wikipedia.org/wiki/Eternals
film,Everything Everywhere All at Once,Wikipedia,Everything Everywhere All at Once,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once
film,Farewell My Concubine,Wikipedia,Farewell My Concubine,https://en.wikipedia.org/wiki/Farewell_My_Concubine
film,Fast X,Wikipedia,Fast X,https://en.wikipedia.org/wiki/Fast_X
film,Get Out,Wikipedia,Get Out,https://en.wikipedia.org/wiki/Get_Out
film,Gladiator,Wikipedia,Gladiator,https://en.wikipedia.org/wiki/Gladiator
film,Gladiator II,Wikipedia,Gladiator II,https://en.wikipedia.org/wiki/Gladiator_II
film,Gone Girl,Wikipedia,Gone Girl,https://en.wikipedia.org/wiki/Gone_Girl
film,Goodfellas,Wikipedia,Goodfellas,https://en.wikipedia.org/wiki/Goodfellas
film,Hereditary,Wikipedia,Hereditary,https://en.wikipedia.org/wiki/Hereditary
film,Hero,Wikipedia,Hero,https://en.wikipedia.org/wiki/Hero_(2002_film)
film,Heroic Age of the East,Wikipedia,Heroic Age of the East,https://en.wikipedia.org/wiki/Heroic_Age_of_the_East
film,"Hi, Mom",Wikipedia,"Hi, Mom","https://en.wikipedia.org/wiki/Hi,_Mom"
film,House of Flying Daggers,Wikipedia,House of Flying Daggers,https://en.wikipedia.org/wiki/House_of_Flying_Daggers
film,If Beale Street Could Talk,Wikipedia,If Beale Street Could Talk,https://en.wikipedia.org/wiki/If_Beale_Street_Could_Talk
film,In the Heat of the Sun,Wikipedia,In the Heat of the Sun,https://en.wikipedia.org/wiki/In_the_Heat_of_the_Sun
film,In the Heights,Wikipedia,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights
film,Inception,Wikipedia,Inception,https://en.wikipedia.org/wiki/Inception
film,Interstellar,Wikipedia,Interstellar,https://en.wikipedia.org/wiki/Interstellar
film,Jaws,Wikipedia,Jaws,https://en.wikipedia.org/wiki/Jaws
film,John Wick Chapter 4,Wikipedia,John Wick Chapter 4,https://en.wikipedia.org/wiki/John_Wick%3A_Chapter_4
film,Julie & Julia,Wikipedia,Julie & Julia,https://en.wikipedia.org/wiki/Julie_%26_Julia
film,Kung Fu Hustle,Wikipedia,Kung Fu Hustle,https://en.wikipedia.org/wiki/Kung_Fu_Hustle
film,La La Land,Wikipedia,La La Land,https://en.wikipedia.org/wiki/La_La_Land
film,Lady Bird,Wikipedia,Lady Bird,https://en.wikipedia.org/wiki/Lady_Bird
film,Let the Bullets Fly,Wikipedia,Let the Bullets Fly,https://en.wikipedia.org/wiki/Let_the_Bullets_Fly
film,Licorice Pizza,Wikipedia,Licorice Pizza,https://en.wikipedia.org/wiki/Licorice_Pizza
film,Long Day's Journey into Night,Wikipedia,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
film,Lost in Thailand,Wikipedia,Lost in Thailand,https://en.wikipedia.org/wiki/Lost_in_Thailand
film,Lost in Translation,Wikipedia,Lost in Translation,https://en.wikipedia.org/wiki/Lost_in_Translation
film,Marie Antoinette,Wikipedia,Marie Antoinette,https://en.wikipedia.org/wiki/Marie_Antoinette
film,Midsommar,Wikipedia,Midsommar,https://en.wikipedia.org/wiki/Midsommar
film,Minari,Wikipedia,Minari,https://en.wikipedia.org/wiki/Minari
film,Moonlight,Wikipedia,Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film)
film,Mulan,Wikipedia,Mulan,https://en.wikipedia.org/wiki/Mulan
film,Mystery,Wikipedia,Mystery,https://en.wikipedia.org/wiki/Mystery
film,Ne Zha,Wikipedia,Ne Zha,https://en.wikipedia.org/wiki/Ne_Zha
film,Nomadland,Wikipedia,Nomadland,https://en.wikipedia.org/wiki/Nomadland
film,Nope,Wikipedia,Nope,https://en.wikipedia.org/wiki/Nope
film,Once Upon a Time in Hollywood,Wikipedia,Once Upon a Time in Hollywood,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood
film,Operation Red Sea,Wikipedia,Operation Red Sea,https://en.wikipedia.org/wiki/Operation_Red_Sea
film,Oppenheimer,Wikipedia,Oppenheimer,https://en.wikipedia.org/wiki/Oppenheimer
film,Pegasus,Wikipedia,Pegasus,https://en.wikipedia.org/wiki/Pegasus
film,Precious,Wikipedia,Precious,https://en.wikipedia.org/wiki/Precious
film,Pulp Fiction,Wikipedia,Pulp Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction
film,Raise the Red Lantern,Wikipedia,Raise the Red Lantern,https://en.wikipedia.org/wiki/Raise_the_Red_Lantern
film,Red Sorghum,Wikipedia,Red Sorghum,https://en.wikipedia.org/wiki/Red_Sorghum
film,Saving Private Ryan,Wikipedia,Saving Private Ryan,https://en.wikipedia.org/wiki/Saving_Private_Ryan
film,Schindler's List,Wikipedia,Schindler's List,https://en.wikipedia.org/wiki/Schindler%27s_List
film,Se7en,Wikipedia,Se7en,https://en.wikipedia.org/wiki/Se7en
film,Selma,Wikipedia,Selma,https://en.wikipedia.org/wiki/Selma
film,Shang-Chi and the Legend of the Ten Rings,Wikipedia,Shang-Chi and the Legend of the Ten Rings,https://en.wikipedia.org/wiki/Shang-Chi_and_the_Legend_of_the_Ten_Rings
film,Shaolin Soccer,Wikipedia,Shaolin Soccer,https://en.wikipedia.org/wiki/Shaolin_Soccer
film,Sleepless in Seattle,Wikipedia,Sleepless in Seattle,https://en.wikipedia.org/wiki/Sleepless_in_Seattle
film,Star Wars: A New Hope,Wikipedia,Star Wars: A New Hope,https://en.wikipedia.org/wiki/Star_Wars_(film)
film,Still Life,Wikipedia,Still Life,https://en.wikipedia.org/wiki/Still_Life_(2006_film)
film,Summer Palace,Wikipedia,Summer Palace,https://en.wikipedia.org/wiki/Summer_Palace
film,Suzhou River,Wikipedia,Suzhou River,https://en.wikipedia.org/wiki/Suzhou_River
film,Taxi Driver,Wikipedia,Taxi Driver,https://en.wikipedia.org/wiki/Taxi_Driver
film,The Battle at Lake Changjin,Wikipedia,The Battle at Lake Changjin,https://en.wikipedia.org/wiki/The_Battle_at_Lake_Changjin
film,The Butler,Wikipedia,The Butler,https://en.wikipedia.org/wiki/The_Butler
film,The Continent,Wikipedia,The Continent,https://en.wikipedia.org/wiki/The_Continent
film,The Dark Knight,Wikipedia,The Dark Knight,https://en.wikipedia.org/wiki/The_Dark_Knight
film,The Farewell,Wikipedia,The Farewell,https://en.wikipedia.org/wiki/The_Farewell
film,The Flowers of War,Wikipedia,The Flowers of War,https://en.wikipedia.org/wiki/The_Flowers_of_War
film,The Godfather,Wikipedia,The Godfather,https://en.wikipedia.org/wiki/The_Godfather
film,The Godfather Part II,Wikipedia,The Godfather Part II,https://en.wikipedia.org/wiki/The_Godfather_Part_II
film,The Golden Era,Wikipedia,The Golden Era,https://en.wikipedia.org/wiki/The_Golden_Era
film,The Grand Budapest Hotel,Wikipedia,The Grand Budapest Hotel,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel
film,The Grandmaster,Wikipedia,The Grandmaster,https://en.wikipedia.org/wiki/The_Grandmaster_(film)
film,The Hidden Man,Wikipedia,The Hidden Man,https://en.wikipedia.org/wiki/The_Hidden_Man
film,The Hurt Locker,Wikipedia,The Hurt Locker,https://en.wikipedia.org/wiki/The_Hurt_Locker
film,The Irishman,Wikipedia,The Irishman,https://en.wikipedia.org/wiki/The_Irishman
film,The Killer,Wikipedia,The Killer,https://en.wikipedia.org/wiki/The_Killer_(1989_film)
film,The Martian,Wikipedia,The Martian,https://en.wikipedia.org/wiki/The_Martian
film,The Matrix Resurrections,Wikipedia,The Matrix Resurrections,https://en.wikipedia.org/wiki/The_Matrix_Resurrections
film,The Mermaid,Wikipedia,The Mermaid,https://en.wikipedia.org/wiki/The_Mermaid
film,The Promise,Wikipedia,The Promise,https://en.wikipedia.org/wiki/The_Promise
film,The Rider,Wikipedia,The Rider,https://en.wikipedia.org/wiki/The_Rider
film,The Social Network,Wikipedia,The Social Network,https://en.wikipedia.org/wiki/The_Social_Network
film,The Story of Qiu Ju,Wikipedia,The Story of Qiu Ju,https://en.wikipedia.org/wiki/The_Story_of_Qiu_Ju
film,The Three-Body Problem,Wikipedia,The Three-Body Problem,https://en.wikipedia.org/wiki/The_Three-Body_Problem
film,The Wandering Earth,Wikipedia,The Wandering Earth,https://en.wikipedia.org/wiki/The_Wandering_Earth
film,The Wandering Earth II,Wikipedia,The Wandering Earth II,https://en.wikipedia.org/wiki/The_Wandering_Earth_II
film,The Warlords,Wikipedia,The Warlords,https://en.wikipedia.org/wiki/The_Warlords
film,The Wild Goose Lake,Wikipedia,The Wild Goose Lake,https://en.wikipedia.org/wiki/The_Wild_Goose_Lake
film,The World,Wikipedia,The World,https://en.wikipedia.org/wiki/The_World
film,There Will Be Blood,Wikipedia,There Will Be Blood,https://en.wikipedia.org/wiki/There_Will_Be_Blood
film,Titanic,Wikipedia,Titanic,https://en.wikipedia.org/wiki/Titanic
film,Top Gun Maverick,Wikipedia,Top Gun Maverick,https://en.wikipedia.org/wiki/Top_Gun%3A_Maverick
film,When They See Us,Wikipedia,When They See Us,https://en.wikipedia.org/wiki/When_They_See_Us
film,Whiplash,Wikipedia,Whiplash,https://en.wikipedia.org/wiki/Whiplash
film,Wicked,Wikipedia,Wicked,https://en.wikipedia.org/wiki/Wicked_(2024_film)
film,Zero Dark Thirty,Wikipedia,Zero Dark Thirty,https://en.wikipedia.org/wiki/Zero_Dark_Thirty
person,Adam Driver,Wikipedia,Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver
person,Al Pacino,Wikipedia,Al Pacino,https://en.wikipedia.org/wiki/Al_Pacino
person,Allison Williams,Wikipedia,Allison Williams,https://en.wikipedia.org/wiki/Allison_Williams
person,Amy Adams,Wikipedia,Amy Adams,https://en.wikipedia.org/wiki/Amy_Adams
person,Andrew Garfield,Wikipedia,Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield
person,Andy Lau,Wikipedia,Andy Lau,https://en.wikipedia.org/wiki/Andy_Lau
person,Ang Lee,Wikipedia,Ang Lee,https://en.wikipedia.org/wiki/Ang_Lee
person,Ann Hui,Wikipedia,Ann Hui,https://en.wikipedia.org/wiki/Ann_Hui
person,Anne Hathaway,Wikipedia,Anne Hathaway,https://en.wikipedia.org/wiki/Anne_Hathaway
person,Anthony Mackie,Wikipedia,Anthony Mackie,https://en.wikipedia.org/wiki/Anthony_Mackie
person,Ari Aster,Wikipedia,Ari Aster,https://en.wikipedia.org/wiki/Ari_Aster
person,Ariana Grande,Wikipedia,Ariana Grande,https://en.wikipedia.org/wiki/Ariana_Grande
person,Ava DuVernay,Wikipedia,Ava DuVernay,https://en.wikipedia.org/wiki/Ava_DuVernay
person,Awkwafina,Wikipedia,Awkwafina,https://en.wikipedia.org/wiki/Awkwafina
person,Barry Jenkins,Wikipedia,Barry Jenkins,https://en.wikipedia.org/wiki/Barry_Jenkins
person,Ben Affleck,Wikipedia,Ben Affleck,https://en.wikipedia.org/wiki/Ben_Affleck
person,Benedict Cumberbatch,Wikipedia,Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch
person,Bi Gan,Wikipedia,Bi Gan,https://en.wikipedia.org/wiki/Bi_Gan
person,Bill Murray,Wikipedia,Bill Murray,https://en.wikipedia.org/wiki/Bill_Murray
person,Billy Zane,Wikipedia,Billy Zane,https://en.wikipedia.org/wiki/Billy_Zane
person,Brad Pitt,Wikipedia,Brad Pitt,https://en.wikipedia.org/wiki/Brad_Pitt
person,Brigitte Lin,Wikipedia,Brigitte Lin,https://en.wikipedia.org/wiki/Brigitte_Lin
person,Carrie Fisher,Wikipedia,Carrie Fisher,https://en.wikipedia.org/wiki/Carrie_Fisher
person,Cate Blanchett,Wikipedia,Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett
person,Cecilia Cheung,Wikipedia,Cecilia Cheung,https://en.wikipedia.org/wiki/Cecilia_Cheung
person,Chadwick Boseman,Wikipedia,Chadwick Boseman,https://en.wikipedia.org/wiki/Chadwick_Boseman
person,Chen Daoming,Wikipedia,Chen Daoming,https://en.wikipedia.org/wiki/Chen_Daoming
person,Chen Kaige,Wikipedia,Chen Kaige,https://en.wikipedia.org/wiki/Chen_Kaige
person,Chen Kun,Wikipedia,Chen Kun,https://en.wikipedia.org/wiki/Chen_Kun
person,Chen Sicheng,Wikipedia,Chen Sicheng,https://en.wikipedia.org/wiki/Chen_Sicheng
person,Chien-lien Wu,Wikipedia,Chien-lien Wu,https://en.wikipedia.org/wiki/Chien-lien_Wu
person,Chloé Zhao,Wikipedia,Chloé Zhao,https://en.wikipedia.org/wiki/Chlo%C3%A9_Zhao
person,Chow Yun-fat,Wikipedia,Chow Yun-fat,https://en.wikipedia.org/wiki/Chow_Yun-fat
person,Christian Bale,Wikipedia,Christian Bale,https://en.wikipedia.org/wiki/Christian_Bale
person,Christopher Nolan,Wikipedia,Christopher Nolan,https://en.wikipedia.org/wiki/Christopher_Nolan
person,Cillian Murphy,Wikipedia,Cillian Murphy,https://en.wikipedia.org/wiki/Cillian_Murphy
person,Constance Wu,Wikipedia,Constance Wu,https://en.wikipedia.org/wiki/Constance_Wu
person,Damien Chazelle,Wikipedia,Damien Chazelle,https://en.wikipedia.org/wiki/Damien_Chazelle
person,Daniel Kaluuya,Wikipedia,Daniel Kaluuya,https://en.wikipedia.org/wiki/Daniel_Kaluuya
person,Daniel Kwan,Wikipedia,Daniel Kwan,https://en.wikipedia.org/wiki/Daniel_Kwan
person,Daniel Scheinert,Wikipedia,Daniel Scheinert,https://en.wikipedia.org/wiki/Daniel_Scheinert
person,Dante Lam,Wikipedia,Dante Lam,https://en.wikipedia.org/wiki/Dante_Lam
person,David Fincher,Wikipedia,David Fincher,https://en.wikipedia.org/wiki/David_Fincher
person,David Strathairn,Wikipedia,David Strathairn,https://en.wikipedia.org/wiki/David_Strathairn
person,Deng Chao,Wikipedia,Deng Chao,https://en.wikipedia.org/wiki/Deng_Chao
person,Denis Villeneuve,Wikipedia,Denis Villeneuve,https://en.wikipedia.org/wiki/Denis_Villeneuve
person,Denzel Washington,Wikipedia,Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington
person,Derek Tsang,Wikipedia,Derek Tsang,https://en.wikipedia.org/wiki/Derek_Tsang
person,Diao Yinan,Wikipedia,Diao Yinan,https://en.wikipedia.org/wiki/Diao_Yinan
person,Dilraba Dilmurat,Wikipedia,Dilraba Dilmurat,https://en.wikipedia.org/wiki/Dilraba_Dilmurat
person,Donnie Yen,Wikipedia,Donnie Yen,https://en.wikipedia.org/wiki/Donnie_Yen
person,Emma Stone,Wikipedia,Emma Stone,https://en.wikipedia.org/wiki/Emma_Stone
person,Eric Tsang,Wikipedia,Eric Tsang,https://en.wikipedia.org/wiki/Eric_Tsang
person,Fan Bingbing,Wikipedia,Fan Bingbing,https://en.wikipedia.org/wiki/Fan_Bingbing
person,Faye Wong,Wikipedia,Faye Wong,https://en.wikipedia.org/wiki/Faye_Wong
person,Feng Xiaogang,Wikipedia,Feng Xiaogang,https://en.wikipedia.org/wiki/Feng_Xiaogang
person,Florence Pugh,Wikipedia,Florence Pugh,https://en.wikipedia.org/wiki/Florence_Pugh
person,Frances McDormand,Wikipedia,Frances McDormand,https://en.wikipedia.org/wiki/Frances_McDormand
person,Francis Ford Coppola,Wikipedia,Francis Ford Coppola,https://en.wikipedia.org/wiki/Francis_Ford_Coppola
person,Frant Gwo,Wikipedia,Frant Gwo,https://en.wikipedia.org/wiki/Frant_Gwo
person,Ge You,Wikipedia,Ge You,https://en.wikipedia.org/wiki/Ge_You
person,George Clooney,Wikipedia,George Clooney,https://en.wikipedia.org/wiki/George_Clooney
person,George Lucas,Wikipedia,George Lucas,https://en.wikipedia.org/wiki/George_Lucas
person,Gong Li,Wikipedia,Gong Li,https://en.wikipedia.org/wiki/Gong_Li
person,Greta Gerwig,Wikipedia,Greta Gerwig,https://en.wikipedia.org/wiki/Greta_Gerwig
person,Guo Fan,Wikipedia,Guo Fan,https://en.wikipedia.org/wiki/Guo_Fan
person,Gwei Lun-mei,Wikipedia,Gwei Lun-mei,https://en.wikipedia.org/wiki/Gwei_Lun-mei
person,Hao Lei,Wikipedia,Hao Lei,https://en.wikipedia.org/wiki/Hao_Lei
person,Henry Golding,Wikipedia,Henry Golding,https://en.wikipedia.org/wiki/Henry_Golding
person,Hiroyuki Sanada,Wikipedia,Hiroyuki Sanada,https://en.wikipedia.org/wiki/Hiroyuki_Sanada
person,Hu Ge,Wikipedia,Hu Ge,https://en.wikipedia.org/wiki/Hu_Ge
person,Huang Bo,Wikipedia,Huang Bo,https://en.wikipedia.org/wiki/Huang_Bo
person,Huang Jue,Wikipedia,Huang Jue,https://en.wikipedia.org/wiki/Huang_Jue
person,Huang Shengyi,Wikipedia,Huang Shengyi,https://en.wikipedia.org/wiki/Huang_Shengyi
person,Huang Xuan,Wikipedia,Huang Xuan,https://en.wikipedia.org/wiki/Huang_Xuan
person,Jackie Chan,Wikipedia,Jackie Chan,https://en.wikipedia.org/wiki/Jackie_Chan
person,Jackson Yee,Wikipedia,Jackson Yee,https://en.wikipedia.org/wiki/Jackson_Yee
person,James Cameron,Wikipedia,James Cameron,https://en.wikipedia.org/wiki/James_Cameron
person,Jang Dong-gun,Wikipedia,Jang Dong-gun,https://en.wikipedia.org/wiki/Jang_Dong-gun
person,Jason Statham,Wikipedia,Jason Statham,https://en.wikipedia.org/wiki/Jason_Statham
person,Jennifer Lawrence,Wikipedia,Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence
person,Jeremy Renner,Wikipedia,Jeremy Renner,https://en.wikipedia.org/wiki/Jeremy_Renner
person,Jesse Eisenberg,Wikipedia,Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg
person,Jessica Chastain,Wikipedia,Jessica Chastain,https://en.wikipedia.org/wiki/Jessica_Chastain
person,Jet Li,Wikipedia,Jet Li,https://en.wikipedia.org/wiki/Jet_Li
person,Jia Ling,Wikipedia,Jia Ling,https://en.wikipedia.org/wiki/Jia_Ling
person,Jia Zhangke,Wikipedia,Jia Zhangke,https://en.wikipedia.org/wiki/Jia_Zhangke
person,Jiang Wen,Wikipedia,Jiang Wen,https://en.wikipedia.org/wiki/Jiang_Wen
person,Jiang Wu,Wikipedia,Jiang Wu,https://en.wikipedia.org/wiki/Jiang_Wu
person,Jiaozi,Wikipedia,Jiaozi,https://en.wikipedia.org/wiki/Jiaozi
person,Joaquin Phoenix,Wikipedia,Joaquin Phoenix,https://en.wikipedia.org/wiki/Joaquin_Phoenix
person,John Woo,Wikipedia,John Woo,https://en.wikipedia.org/wiki/John_Woo
person,Jon M. Chu,Wikipedia,Jon M. Chu,https://en.wikipedia.org/wiki/Jon_M._Chu
person,Jordan Peele,Wikipedia,Jordan Peele,https://en.wikipedia.org/wiki/Jordan_Peele
person,Kathryn Bigelow,Wikipedia,Kathryn Bigelow,https://en.wikipedia.org/wiki/Kathryn_Bigelow
person,Ke Huy Quan,Wikipedia,Ke Huy Quan,https://en.wikipedia.org/wiki/Ke_Huy_Quan
person,Keanu Reeves,Wikipedia,Keanu Reeves,https://en.wikipedia.org/wiki/Keanu_Reeves
person,Lee Daniels,Wikipedia,Lee Daniels,https://en.wikipedia.org/wiki/Lee_Daniels
person,Lee Isaac Chung,Wikipedia,Lee Isaac Chung,https://en.wikipedia.org/wiki/Lee_Isaac_Chung
person,Lei Jiayin,Wikipedia,Lei Jiayin,https://en.wikipedia.org/wiki/Lei_Jiayin
person,Leon Lai,Wikipedia,Leon Lai,https://en.wikipedia.org/wiki/Leon_Lai
person,Leonardo DiCaprio,Wikipedia,Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio
person,Li Bingbing,Wikipedia,Li Bingbing,https://en.wikipedia.org/wiki/Li_Bingbing
person,Li Guangjie,Wikipedia,Li Guangjie,https://en.wikipedia.org/wiki/Li_Guangjie
person,Liao Fan,Wikipedia,Liao Fan,https://en.wikipedia.org/wiki/Liao_Fan
person,Liu Haoran,Wikipedia,Liu Haoran,https://en.wikipedia.org/wiki/Liu_Haoran
person,Liu Yifei,Wikipedia,Liu Yifei,https://en.wikipedia.org/wiki/Liu_Yifei
person,Lou Ye,Wikipedia,Lou Ye,https://en.wikipedia.org/wiki/Lou_Ye
person,Lulu Wang,Wikipedia,Lulu Wang,https://en.wikipedia.org/wiki/Lulu_Wang
person,Lupita Nyong'o,Wikipedia,Lupita Nyong'o,https://en.wikipedia.org/wiki/Lupita_Nyong%27o
person,Ma Li,Wikipedia,Ma Li,https://en.wikipedia.org/wiki/Ma_Li
person,Maggie Cheung,Wikipedia,Maggie Cheung,https://en.wikipedia.org/wiki/Maggie_Cheung
person,Mahershala Ali,Wikipedia,Mahershala Ali,https://en.wikipedia.org/wiki/Mahershala_Ali
person,Margot Robbie,Wikipedia,Margot Robbie,https://en.wikipedia.org/wiki/Margot_Robbie
person,Mark Hamill,Wikipedia,Mark Hamill,https://en.wikipedia.org/wiki/Mark_Hamill
person,Martin Scorsese,Wikipedia,Martin Scorsese,https://en.wikipedia.org/wiki/Martin_Scorsese
person,Matt Damon,Wikipedia,Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon
person,Matthew McConaughey,Wikipedia,Matthew McConaughey,https://en.wikipedia.org/wiki/Matthew_McConaughey
person,Meryl Streep,Wikipedia,Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep
person,Miao Miao,Wikipedia,Miao Miao,https://en.wikipedia.org/wiki/Miao_Miao
person,Michael B. Jordan,Wikipedia,Michael B. Jordan,https://en.wikipedia.org/wiki/Michael_B._Jordan
person,Michael Keaton,Wikipedia,Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton
person,Michelle Yeoh,Wikipedia,Michelle Yeoh,https://en.wikipedia.org/wiki/Michelle_Yeoh
person,Naomie Harris,Wikipedia,Naomie Harris,https://en.wikipedia.org/wiki/Naomie_Harris
